n1|n2|prop
dbpedia.Horse|dbpedia.Mammal|is-a
dbpedia.Mammal|dbpedia.Animal|is-a
dbpedia.Eukaryote|dbpedia.Species|is-a
dbpedia.SkiArea|dbpedia.SportFacility|is-a
dbpedia.Instrument|dbpedia.Device|is-a
dbpedia.On-SiteTransportation|dbpedia.MeanOfTransportation|is-a
dbpedia.Venue|dbpedia.ArchitecturalStructure|is-a
dbpedia.Royalty|dbpedia.Person|is-a
dbpedia.Family|dbpedia.Agent|is-a
dbpedia.Agent|owl.Thing|is-a
dbpedia.Sport|dbpedia.Activity|is-a
dbpedia.Station|dbpedia.Infrastructure|is-a
dbpedia.Olympics|dbpedia.SportsEvent|is-a
dbpedia.Song|dbpedia.MusicalWork|is-a
dbpedia.SportsClub|dbpedia.Organisation|is-a
dbpedia.Document|dbpedia.Work|is-a
dbpedia.Cartoon|dbpedia.Work|is-a
dbpedia.Book|dbpedia.WrittenWork|is-a
dbpedia.CollectionOfValuables|dbpedia.Work|is-a
dbpedia.Game|dbpedia.Activity|is-a
dbpedia.ReligiousOrganisation|dbpedia.Organisation|is-a
dbpedia.LifeCycleEvent|dbpedia.Event|is-a
dbpedia.Competition|dbpedia.Event|is-a
dbpedia.Project|dbpedia.UnitOfWork|is-a
dbpedia.FootballLeagueSeason|dbpedia.SportsTeamSeason|is-a
dbpedia.Award|owl.Thing|is-a
dbpedia.Municipality|dbpedia.GovernmentalAdministrativeRegion|is-a
dbpedia.Star|dbpedia.CelestialBody|is-a
dbpedia.Boxing|dbpedia.Sport|is-a
dbpedia.ComicsCharacter|dbpedia.FictionalCharacter|is-a
dbpedia.Image|dbpedia.Document|is-a
dbpedia.Murderer|dbpedia.Criminal|is-a
dbpedia.Criminal|dbpedia.Person|is-a
dbpedia.List|owl.Thing|is-a
dbpedia.Aircraft|dbpedia.MeanOfTransportation|is-a
dbpedia.BasketballLeague|dbpedia.SportsLeague|is-a
dbpedia.CyclingLeague|dbpedia.SportsLeague|is-a
dbpedia.CurlingLeague|dbpedia.SportsLeague|is-a
dbpedia.SpeedwayLeague|dbpedia.SportsLeague|is-a
dbpedia.VideogamesLeague|dbpedia.SportsLeague|is-a
dbpedia.MotorcycleRacingLeague|dbpedia.SportsLeague|is-a
dbpedia.SoccerLeague|dbpedia.SportsLeague|is-a
dbpedia.IceHockeyLeague|dbpedia.SportsLeague|is-a
dbpedia.CanadianFootballLeague|dbpedia.SportsLeague|is-a
dbpedia.VolleyballLeague|dbpedia.SportsLeague|is-a
dbpedia.BowlingLeague|dbpedia.SportsLeague|is-a
dbpedia.GolfLeague|dbpedia.SportsLeague|is-a
dbpedia.HandballLeague|dbpedia.SportsLeague|is-a
