n1|n2|prop
dbpedia.HistoricalSettlement|dbpedia.Settlement|is-a
dbpedia.Village|dbpedia.Settlement|is-a
dbpedia.CityDistrict|dbpedia.Settlement|is-a
dbpedia.Church|dbpedia.ReligiousBuilding|is-a
dbpedia.Mosque|dbpedia.ReligiousBuilding|is-a
dbpedia.Monastery|dbpedia.ReligiousBuilding|is-a
dbpedia.Synagogue|dbpedia.ReligiousBuilding|is-a
dbpedia.Abbey|dbpedia.ReligiousBuilding|is-a
dbpedia.Temple|dbpedia.ReligiousBuilding|is-a
dbpedia.MotocycleRacer|dbpedia.MotorcycleRider|is-a
dbpedia.SpeedwayRider|dbpedia.MotorcycleRider|is-a
dbpedia.Deanery|dbpedia.ClericalAdministrativeRegion|is-a
dbpedia.Diocese|dbpedia.ClericalAdministrativeRegion|is-a
dbpedia.Parish|dbpedia.ClericalAdministrativeRegion|is-a
dbpedia.BusCompany|dbpedia.Company|is-a
dbpedia.LawFirm|dbpedia.Company|is-a
dbpedia.Winery|dbpedia.Company|is-a
dbpedia.RecordLabel|dbpedia.Company|is-a
dbpedia.Brewery|dbpedia.Company|is-a
dbpedia.Airline|dbpedia.Company|is-a
dbpedia.Publisher|dbpedia.Company|is-a
dbpedia.Bank|dbpedia.Company|is-a
dbpedia.Caterer|dbpedia.Company|is-a
dbpedia.NuclearPowerStation|dbpedia.PowerStation|is-a
dbpedia.Birth|dbpedia.PersonalEvent|is-a
dbpedia.Death|dbpedia.PersonalEvent|is-a
dbpedia.Divorce|dbpedia.PersonalEvent|is-a
dbpedia.Marriage|dbpedia.PersonalEvent|is-a
dbpedia.GivenName|dbpedia.Name|is-a
dbpedia.Surname|dbpedia.Name|is-a
dbpedia.SumoWrestler|dbpedia.Wrestler|is-a
dbpedia.FormulaOneRacer|dbpedia.RacingDriver|is-a
dbpedia.DTMRacer|dbpedia.RacingDriver|is-a
dbpedia.RallyDriver|dbpedia.RacingDriver|is-a
dbpedia.NascarDriver|dbpedia.RacingDriver|is-a
dbpedia.Guitarist|dbpedia.Instrumentalist|is-a
dbpedia.BackScene|dbpedia.MusicalArtist|is-a
dbpedia.ClassicalMusicArtist|dbpedia.MusicalArtist|is-a
dbpedia.Singer|dbpedia.MusicalArtist|is-a
dbpedia.MusicDirector|dbpedia.MusicalArtist|is-a
dbpedia.CricketGround|dbpedia.SportFacility|is-a
dbpedia.Stadium|dbpedia.SportFacility|is-a
dbpedia.GolfCourse|dbpedia.SportFacility|is-a
dbpedia.HistoricalDistrict|dbpedia.District|is-a
dbpedia.GolfTournament|dbpedia.Tournament|is-a
dbpedia.WomensTennisAssociationTournament|dbpedia.Tournament|is-a
dbpedia.TennisTournament|dbpedia.Tournament|is-a
dbpedia.SoccerTournament|dbpedia.Tournament|is-a
dbpedia.Sales|dbpedia.Activity|is-a
dbpedia.AdultActor|dbpedia.Actor|is-a
dbpedia.VoiceActor|dbpedia.Actor|is-a
dbpedia.AmericanFootballPlayer|dbpedia.GridironFootballPlayer|is-a
dbpedia.CanadianFootballPlayer|dbpedia.GridironFootballPlayer|is-a
dbpedia.InformationAppliance|dbpedia.Device|is-a
dbpedia.MobilePhone|dbpedia.Device|is-a
dbpedia.Weapon|dbpedia.Device|is-a
dbpedia.ChristianDoctrine|dbpedia.TheologicalConcept|is-a
dbpedia.NationalAnthem|dbpedia.MusicalWork|is-a
dbpedia.Opera|dbpedia.MusicalWork|is-a
dbpedia.Album|dbpedia.MusicalWork|is-a
dbpedia.Musical|dbpedia.MusicalWork|is-a
dbpedia.ClassicalMusicComposition|dbpedia.MusicalWork|is-a
dbpedia.ArtistDiscography|dbpedia.MusicalWork|is-a
dbpedia.Single|dbpedia.MusicalWork|is-a
dbpedia.RoadJunction|dbpedia.RouteOfTransportation|is-a
dbpedia.WaterwayTunnel|dbpedia.RouteOfTransportation|is-a
dbpedia.Road|dbpedia.RouteOfTransportation|is-a
dbpedia.RailwayLine|dbpedia.RouteOfTransportation|is-a
dbpedia.RailwayTunnel|dbpedia.RouteOfTransportation|is-a
dbpedia.Bridge|dbpedia.RouteOfTransportation|is-a
dbpedia.RoadTunnel|dbpedia.RouteOfTransportation|is-a
dbpedia.Treadmill|dbpedia.Mill|is-a
dbpedia.Watermill|dbpedia.Mill|is-a
dbpedia.WindMotor|dbpedia.Mill|is-a
dbpedia.Windmill|dbpedia.Mill|is-a
dbpedia.VolleyballCoach|dbpedia.Coach|is-a
dbpedia.CollegeCoach|dbpedia.Coach|is-a
dbpedia.AmericanFootballCoach|dbpedia.Coach|is-a
dbpedia.Capital|dbpedia.City|is-a
dbpedia.CapitalOfRegion|dbpedia.City|is-a
dbpedia.ProgrammingLanguage|dbpedia.Software|is-a
dbpedia.VideoGame|dbpedia.Software|is-a
dbpedia.ControlledDesignationOfOriginWine|dbpedia.Wine|is-a
dbpedia.President|dbpedia.Politician|is-a
dbpedia.PrimeMinister|dbpedia.Politician|is-a
dbpedia.Deputy|dbpedia.Politician|is-a
dbpedia.Congressman|dbpedia.Politician|is-a
dbpedia.Senator|dbpedia.Politician|is-a
dbpedia.VicePresident|dbpedia.Politician|is-a
dbpedia.VicePrimeMinister|dbpedia.Politician|is-a
dbpedia.Mayor|dbpedia.Politician|is-a
dbpedia.Lieutenant|dbpedia.Politician|is-a
dbpedia.MemberOfParliament|dbpedia.Politician|is-a
dbpedia.Governor|dbpedia.Politician|is-a
dbpedia.Chancellor|dbpedia.Politician|is-a
dbpedia.CoalPit|dbpedia.Mine|is-a
dbpedia.DigitalCamera|dbpedia.Camera|is-a
dbpedia.Band|dbpedia.Group|is-a
dbpedia.ComedyGroup|dbpedia.Group|is-a
dbpedia.HistoricalCountry|dbpedia.Country|is-a
dbpedia.HorseRace|dbpedia.Race|is-a
dbpedia.MotorRace|dbpedia.Race|is-a
dbpedia.CyclingRace|dbpedia.Race|is-a
dbpedia.Magazine|dbpedia.PeriodicalLiterature|is-a
dbpedia.Newspaper|dbpedia.PeriodicalLiterature|is-a
dbpedia.AcademicJournal|dbpedia.PeriodicalLiterature|is-a
dbpedia.UndergroundJournal|dbpedia.PeriodicalLiterature|is-a
dbpedia.Galaxy|dbpedia.CelestialBody|is-a
dbpedia.Planet|dbpedia.CelestialBody|is-a
dbpedia.Constellation|dbpedia.CelestialBody|is-a
dbpedia.Asteroid|dbpedia.CelestialBody|is-a
dbpedia.Manhwa|dbpedia.Comic|is-a
dbpedia.Manga|dbpedia.Comic|is-a
dbpedia.ComicStrip|dbpedia.Comic|is-a
dbpedia.Manhua|dbpedia.Comic|is-a
dbpedia.SportsTeamMember|dbpedia.OrganisationMember|is-a
dbpedia.Ocean|dbpedia.BodyOfWater|is-a
dbpedia.Sea|dbpedia.BodyOfWater|is-a
dbpedia.Bay|dbpedia.BodyOfWater|is-a
dbpedia.Lake|dbpedia.BodyOfWater|is-a
dbpedia.AmateurBoxer|dbpedia.Boxer|is-a
dbpedia.NarutoCharacter|dbpedia.FictionalCharacter|is-a
dbpedia.SoapCharacter|dbpedia.FictionalCharacter|is-a
dbpedia.DisneyCharacter|dbpedia.FictionalCharacter|is-a
dbpedia.MythologicalFigure|dbpedia.FictionalCharacter|is-a
dbpedia.Atoll|dbpedia.Island|is-a
dbpedia.Openswarm|dbpedia.Swarm|is-a
dbpedia.Globularswarm|dbpedia.Swarm|is-a
dbpedia.HotSpring|dbpedia.NaturalPlace|is-a
dbpedia.Valley|dbpedia.NaturalPlace|is-a
dbpedia.Volcano|dbpedia.NaturalPlace|is-a
dbpedia.Desert|dbpedia.NaturalPlace|is-a
dbpedia.MountainPass|dbpedia.NaturalPlace|is-a
dbpedia.Glacier|dbpedia.NaturalPlace|is-a
dbpedia.Archipelago|dbpedia.NaturalPlace|is-a
dbpedia.Beach|dbpedia.NaturalPlace|is-a
dbpedia.Mountain|dbpedia.NaturalPlace|is-a
dbpedia.Cave|dbpedia.NaturalPlace|is-a
dbpedia.MountainRange|dbpedia.NaturalPlace|is-a
dbpedia.GraveMonument|dbpedia.Monument|is-a
dbpedia.Memorial|dbpedia.Monument|is-a
dbpedia.HumanGene|dbpedia.Gene|is-a
dbpedia.MouseGene|dbpedia.Gene|is-a
dbpedia.Canal|dbpedia.Stream|is-a
dbpedia.River|dbpedia.Stream|is-a
dbpedia.RecordOffice|dbpedia.Non-ProfitOrganisation|is-a
dbpedia.SoccerManager|dbpedia.SportsManager|is-a
dbpedia.BiologicalDatabase|dbpedia.Database|is-a
dbpedia.SupremeCourtOfTheUnitedStatesCase|dbpedia.LegalCase|is-a
dbpedia.RadioStation|dbpedia.Broadcaster|is-a
dbpedia.BroadcastNetwork|dbpedia.Broadcaster|is-a
dbpedia.TelevisionStation|dbpedia.Broadcaster|is-a
dbpedia.Host|dbpedia.TelevisionPersonality|is-a
dbpedia.Sculpture|dbpedia.Artwork|is-a
dbpedia.Painting|dbpedia.Artwork|is-a
dbpedia.BeachVolleyballPlayer|dbpedia.VolleyballPlayer|is-a
dbpedia.NaturalRegion|dbpedia.Region|is-a
dbpedia.HistoricalRegion|dbpedia.Region|is-a
dbpedia.LightNovel|dbpedia.Novel|is-a
dbpedia.SnookerChamp|dbpedia.SnookerPlayer|is-a
dbpedia.Profession|dbpedia.PersonFunction|is-a
dbpedia.PoliticalFunction|dbpedia.PersonFunction|is-a
dbpedia.Entomologist|dbpedia.Scientist|is-a
dbpedia.Biologist|dbpedia.Scientist|is-a
dbpedia.Professor|dbpedia.Scientist|is-a
dbpedia.Medician|dbpedia.Scientist|is-a
dbpedia.TelevisionHost|dbpedia.Presenter|is-a
dbpedia.RadioHost|dbpedia.Presenter|is-a
dbpedia.Mineral|dbpedia.ChemicalSubstance|is-a
dbpedia.Drug|dbpedia.ChemicalSubstance|is-a
dbpedia.ChemicalElement|dbpedia.ChemicalSubstance|is-a
dbpedia.ChemicalCompound|dbpedia.ChemicalSubstance|is-a
dbpedia.SoccerClubSeason|dbpedia.SportsTeamSeason|is-a
dbpedia.NCAATeamSeason|dbpedia.SportsTeamSeason|is-a
dbpedia.BaseballSeason|dbpedia.SportsTeamSeason|is-a
dbpedia.SoccerLeagueSeason|dbpedia.SportsTeamSeason|is-a
dbpedia.Reference|dbpedia.Annotation|is-a
dbpedia.ArtificialSatellite|dbpedia.Satellite|is-a
dbpedia.NationalSoccerClub|dbpedia.SoccerClub|is-a
dbpedia.RaceHorse|dbpedia.Horse|is-a
dbpedia.Dog|dbpedia.Mammal|is-a
dbpedia.Fungus|dbpedia.Eukaryote|is-a
dbpedia.SkiResort|dbpedia.SkiArea|is-a
dbpedia.Guitar|dbpedia.Instrument|is-a
dbpedia.Organ|dbpedia.Instrument|is-a
dbpedia.Escalator|dbpedia.On-SiteTransportation|is-a
dbpedia.ConveyorSystem|dbpedia.On-SiteTransportation|is-a
dbpedia.MovingWalkway|dbpedia.On-SiteTransportation|is-a
dbpedia.Theatre|dbpedia.Venue|is-a
dbpedia.NobleFamily|dbpedia.Family|is-a
dbpedia.Employer|dbpedia.Agent|is-a
dbpedia.Deity|dbpedia.Agent|is-a
dbpedia.HorseRiding|dbpedia.Sport|is-a
dbpedia.Athletics|dbpedia.Sport|is-a
dbpedia.MetroStation|dbpedia.Station|is-a
dbpedia.ElectricalSubstation|dbpedia.Station|is-a
dbpedia.FillingStation|dbpedia.Station|is-a
dbpedia.RailwayStation|dbpedia.Station|is-a
dbpedia.OlympicEvent|dbpedia.Olympics|is-a
dbpedia.EurovisionSongContestEntry|dbpedia.Song|is-a
dbpedia.HockeyClub|dbpedia.SportsClub|is-a
dbpedia.File|dbpedia.Document|is-a
dbpedia.Sound|dbpedia.Document|is-a
dbpedia.Anime|dbpedia.Cartoon|is-a
dbpedia.HollywoodCartoon|dbpedia.Cartoon|is-a
dbpedia.Archive|dbpedia.CollectionOfValuables|is-a
dbpedia.BoardGame|dbpedia.Game|is-a
dbpedia.CardGame|dbpedia.Game|is-a
dbpedia.ClericalOrder|dbpedia.ReligiousOrganisation|is-a
dbpedia.Contest|dbpedia.Competition|is-a
dbpedia.ResearchProject|dbpedia.Project|is-a
dbpedia.NationalFootballLeagueSeason|dbpedia.FootballLeagueSeason|is-a
dbpedia.NobelPrize|dbpedia.Award|is-a
dbpedia.Decoration|dbpedia.Award|is-a
dbpedia.FormerMunicipality|dbpedia.Municipality|is-a
dbpedia.BrownDwarf|dbpedia.Star|is-a
dbpedia.BoxingStyle|dbpedia.Boxing|is-a
dbpedia.BoxingCategory|dbpedia.Boxing|is-a
dbpedia.AnimangaCharacter|dbpedia.ComicsCharacter|is-a
dbpedia.StillImage|dbpedia.Image|is-a
dbpedia.MovingImage|dbpedia.Image|is-a
dbpedia.SerialKiller|dbpedia.Murderer|is-a
dbpedia.TrackList|dbpedia.List|is-a
dbpedia.MilitaryAircraft|dbpedia.Aircraft|is-a
