n1|n2|prop
obo.BFO_0000023|obo.BFO_0000017|is-a
obo.BFO_0000145|obo.BFO_0000019|is-a
obo.OGMS_0000086|obo.BFO_0000019|is-a
ogms.SCTO_363787002|obo.BFO_0000020|is-a
ogms.SCTO_78621006|obo.BFO_0000020|is-a
ogms.SCTO_276339004|obo.BFO_0000029|is-a
ogms.SCTO_105590001|obo.BFO_0000030|is-a
ogms.SCTO_123038009|obo.BFO_0000030|is-a
ogms.SCTO_373873005|obo.BFO_0000030|is-a
ogms.SCTO_410607006|obo.BFO_0000030|is-a
obo.OGMS_0000074|obo.BFO_0000031|is-a
ogms.SCTO_254291000|obo.BFO_0000031|is-a
ogms.SCTO_419891008|obo.BFO_0000031|is-a
ogms.SCTO_272379006|obo.BFO_0000035|is-a
obo.BFO_0000027|obo.BFO_0000040|is-a
obo.OGMS_0000077|obo.BFO_0000040|is-a
obo.OGMS_0000078|obo.BFO_0000040|is-a
obo.OGMS_0000079|obo.BFO_0000040|is-a
obo.OGMS_0000084|obo.BFO_0000040|is-a
obo.OGMS_0000087|obo.BFO_0000040|is-a
obo.OGMS_0000089|obo.BFO_0000040|is-a
obo.BFO_0000142|obo.BFO_0000140|is-a
obo.BFO_0000146|obo.BFO_0000140|is-a
obo.BFO_0000147|obo.BFO_0000140|is-a
obo.OGMS_0000016|obo.IAO_0000027|is-a
obo.OGMS_0000019|obo.IAO_0000027|is-a
obo.OGMS_0000073|obo.IAO_0000027|is-a
obo.OGMS_0000093|obo.IAO_0000027|is-a
obo.IAO_0000033|obo.IAO_0000030|is-a
obo.OGMS_0000088|obo.IAO_0000030|is-a
obo.IAO_0000078|obo.IAO_0000102|is-a
obo.IAO_0000225|obo.IAO_0000102|is-a
obo.IAO_0000409|obo.IAO_0000102|is-a
oboInOwl.DbXref|obo.IAO_0000102|is-a
oboInOwl.Definition|obo.IAO_0000102|is-a
oboInOwl.Subset|obo.IAO_0000102|is-a
oboInOwl.Synonym|obo.IAO_0000102|is-a
oboInOwl.SynonymType|obo.IAO_0000102|is-a
obo.OGMS_0000015|obo.OGMS_0000014|is-a
obo.OGMS_0000017|obo.OGMS_0000014|is-a
obo.OGMS_0000018|obo.OGMS_0000014|is-a
obo.OGMS_0000031|obo.OGMS_0000014|is-a
obo.OGMS_0000083|obo.OGMS_0000014|is-a
obo.OGMS_0000085|obo.OGMS_0000020|is-a
obo.OGMS_0000025|obo.OGMS_0000022|is-a
obo.OGMS_0000026|obo.OGMS_0000022|is-a
obo.OGMS_0000027|obo.OGMS_0000023|is-a
obo.OGMS_0000028|obo.OGMS_0000023|is-a
obo.OGMS_0000029|obo.OGMS_0000024|is-a
obo.OGMS_0000033|obo.OGMS_0000030|is-a
obo.OGMS_0000034|obo.OGMS_0000031|is-a
obo.OGMS_0000035|obo.OGMS_0000031|is-a
obo.OGMS_0000037|obo.OGMS_0000032|is-a
obo.OGMS_0000038|obo.OGMS_0000032|is-a
obo.OGMS_0000040|obo.OGMS_0000039|is-a
obo.OGMS_0000046|obo.OGMS_0000045|is-a
obo.OGMS_0000102|obo.OGMS_0000045|is-a
obo.OGMS_0000050|obo.OGMS_0000047|is-a
obo.OGMS_0000051|obo.OGMS_0000047|is-a
obo.OGMS_0000080|obo.OGMS_0000061|is-a
obo.OGMS_0000081|obo.OGMS_0000061|is-a
obo.OGMS_0000082|obo.OGMS_0000061|is-a
obo.OGMS_0000064|obo.OGMS_0000063|is-a
obo.OGMS_0000065|obo.OGMS_0000063|is-a
obo.OGMS_0000066|obo.OGMS_0000063|is-a
obo.OGMS_0000094|obo.OGMS_0000063|is-a
obo.OGMS_0000098|obo.OGMS_0000097|is-a
obo.OGMS_0000099|obo.OGMS_0000097|is-a
obo.OGMS_0000100|obo.OGMS_0000097|is-a
obo.OGMS_0000101|obo.OGMS_0000097|is-a
ogms.SCTO_00000001|ogms.SCTO_00000000|is-a
ogms.SCTO_00000002|ogms.SCTO_00000000|is-a
ogms.SCTO_49755003|ogms.SCTO_118956008|is-a
snomed.SCTO_360220002|ogms.SCTO_129264002_2|is-a
ogms.SCTO_7771000|ogms.SCTO_182353008|is-a
ogms.SCTO_51440002|ogms.SCTO_24028007|is-a
ogms.SCTO_272141005|ogms.SCTO_258349007|is-a
ogms.SCTO_49062001|ogms.SCTO_260787004|is-a
ogms.SCTO_272125009|ogms.SCTO_272103003|is-a
ogms.SCTO_255231005|ogms.SCTO_272127001|is-a
ogms.SCTO_257958009|ogms.SCTO_272127001|is-a
ogms.SCTO_66459002|ogms.SCTO_272424004|is-a
ogms.SCTO_363675004|ogms.SCTO_277367001|is-a
ogms.SCTO_288524001|ogms.SCTO_303102005|is-a
ogms.SCTO_288526004|ogms.SCTO_303102005|is-a
ogms.SCTO_282032007|ogms.SCTO_307142001|is-a
ogms.SCTO_263680009|ogms.SCTO_308489006|is-a
ogms.SCTO_103379005|ogms.SCTO_309825002|is-a
ogms.SCTO_309795001|ogms.SCTO_309825002|is-a
ogms.SCTO_105904009|ogms.SCTO_362981000|is-a
ogms.SCTO_260245000|ogms.SCTO_362981000|is-a
ogms.SCTO_281296001|ogms.SCTO_362981000|is-a
ogms.SCTO_284009009|ogms.SCTO_362981000|is-a
snomed.SCTO_106229004|ogms.SCTO_362981000|is-a
snomed.SCTO_106235004|ogms.SCTO_362981000|is-a
snomed.SCTO_106239005|ogms.SCTO_362981000|is-a
snomed.SCTO_115268005|ogms.SCTO_362981000|is-a
snomed.SCTO_115670007|ogms.SCTO_362981000|is-a
snomed.SCTO_118598001|ogms.SCTO_362981000|is-a
snomed.SCTO_129264002|ogms.SCTO_362981000|is-a
snomed.SCTO_21703008|ogms.SCTO_362981000|is-a
snomed.SCTO_257544000|ogms.SCTO_362981000|is-a
snomed.SCTO_260299005|ogms.SCTO_362981000|is-a
snomed.SCTO_272099008|ogms.SCTO_362981000|is-a
snomed.SCTO_272512009|ogms.SCTO_362981000|is-a
snomed.SCTO_276214006|ogms.SCTO_362981000|is-a
snomed.SCTO_278444000|ogms.SCTO_362981000|is-a
snomed.SCTO_288531002|ogms.SCTO_362981000|is-a
snomed.SCTO_297289008|ogms.SCTO_362981000|is-a
snomed.SCTO_307120002|ogms.SCTO_362981000|is-a
snomed.SCTO_308910008|ogms.SCTO_362981000|is-a
snomed.SCTO_363555003|ogms.SCTO_362981000|is-a
snomed.SCTO_394731006|ogms.SCTO_362981000|is-a
snomed.SCTO_413529001|ogms.SCTO_362981000|is-a
snomed.SCTO_414753003|ogms.SCTO_362981000|is-a
snomed.SCTO_415240008|ogms.SCTO_362981000|is-a
snomed.SCTO_422096002|ogms.SCTO_362981000|is-a
snomed.SCTO_698078002|ogms.SCTO_362981000|is-a
snomed.SCTO_703763000|ogms.SCTO_362981000|is-a
ogms.SCTO_405813007|ogms.SCTO_363704007|is-a
ogms.SCTO_405814001|ogms.SCTO_363704007|is-a
ogms.SCTO_261424001|ogms.SCTO_399455000|is-a
