0,owl.Thing,pizza.American,pizza.AmericanHot,pizza.AnchoviesTopping,pizza.ArtichokeTopping,pizza.AsparagusTopping,pizza.Cajun,pizza.CajunSpiceTopping,pizza.CaperTopping,pizza.Capricciosa,pizza.Caprina,pizza.CheeseTopping,pizza.CheeseyVegetableTopping,pizza.ChickenTopping,pizza.DeepPanBase,pizza.DomainConcept,pizza.Fiorentina,pizza.FishTopping,pizza.Food,pizza.FourCheesesTopping,pizza.FourSeasons,pizza.FruitTopping,pizza.FruttiDiMare,pizza.GarlicTopping,pizza.Giardiniera,pizza.GoatsCheeseTopping,pizza.GorgonzolaTopping,pizza.GreenPepperTopping,pizza.HamTopping,pizza.HerbSpiceTopping,pizza.Hot,pizza.HotGreenPepperTopping,pizza.HotSpicedBeefTopping,pizza.IceCream,pizza.JalapenoPepperTopping,pizza.LaReine,pizza.LeekTopping,pizza.Margherita,pizza.MeatTopping,pizza.Medium,pizza.Mild,pizza.MixedSeafoodTopping,pizza.MozzarellaTopping,pizza.Mushroom,pizza.MushroomTopping,pizza.NamedPizza,pizza.Napoletana,pizza.NutTopping,pizza.OliveTopping,pizza.OnionTopping,pizza.ParmaHamTopping,pizza.Parmense,pizza.ParmesanTopping,pizza.PeperonataTopping,pizza.PeperoniSausageTopping,pizza.PepperTopping,pizza.PetitPoisTopping,pizza.PineKernels,pizza.Pizza,pizza.PizzaBase,pizza.PizzaTopping,pizza.PolloAdAstra,pizza.PrawnsTopping,pizza.PrinceCarlo,pizza.QuattroFormaggi,pizza.RedOnionTopping,pizza.RocketTopping,pizza.Rosa,pizza.RosemaryTopping,pizza.SauceTopping,pizza.Siciliana,pizza.SlicedTomatoTopping,pizza.SloppyGiuseppe,pizza.Soho,pizza.Spiciness,pizza.SpinachTopping,pizza.SultanaTopping,pizza.SundriedTomatoTopping,pizza.SweetPepperTopping,pizza.ThinAndCrispyBase,pizza.TobascoPepperSauce,pizza.TomatoTopping,pizza.UnclosedPizza,pizza.ValuePartition,pizza.VegetableTopping,pizza.Veneziana
pizza.IceCream,0.33,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.33,0.25,0.25,0.33,0.5,0.25,0.33,1.0,0.25,0.25,0.33,0.25,0.25,0.25,0.25,0.25,0.2,0.25,0.33,0.17,0.17,0.25,1.0,0.2,0.25,0.25,0.25,0.33,0.17,0.17,0.25,0.25,0.25,0.25,0.33,0.25,0.33,0.25,0.25,0.2,0.25,0.25,0.2,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.2,0.25,0.25,0.25,0.33,0.25,0.2,0.25,0.25,0.2,0.25,0.25,0.2,0.2,0.33,0.25,0.25,0.33,0.25,0.33,0.25
pizza.JalapenoPepperTopping,0.17,0.14,0.14,0.2,0.33,0.33,0.14,0.2,0.33,0.14,0.14,0.25,0.33,0.2,0.17,0.2,0.14,0.25,0.25,0.2,0.14,0.25,0.14,0.33,0.14,0.2,0.2,0.5,0.2,0.25,0.11,0.33,0.2,0.2,1.0,0.14,0.33,0.14,0.25,0.11,0.11,0.2,0.2,0.14,0.33,0.17,0.14,0.25,0.33,0.33,0.17,0.14,0.2,0.5,0.2,1.0,0.33,0.2,0.2,0.2,0.33,0.14,0.2,0.14,0.14,0.25,0.33,0.14,0.2,0.25,0.14,0.25,0.14,0.14,0.12,0.33,0.2,0.25,0.5,0.17,0.2,0.33,0.17,0.14,0.5,0.14
pizza.LaReine,0.2,0.5,0.5,0.17,0.17,0.17,0.5,0.17,0.17,0.5,0.5,0.2,0.17,0.17,0.2,0.25,0.5,0.2,0.33,0.17,0.5,0.2,0.5,0.17,0.5,0.17,0.17,0.14,0.17,0.2,0.12,0.12,0.17,0.25,0.14,1.0,0.17,0.5,0.2,0.12,0.12,0.17,0.17,0.5,0.17,1.0,0.5,0.2,0.17,0.17,0.14,0.5,0.17,0.14,0.17,0.17,0.17,0.17,0.5,0.25,0.25,0.5,0.17,0.5,0.5,0.14,0.17,0.5,0.17,0.2,0.5,0.14,0.5,0.5,0.14,0.17,0.17,0.14,0.14,0.2,0.17,0.17,0.33,0.17,0.2,0.5
pizza.LeekTopping,0.2,0.17,0.17,0.25,0.5,0.5,0.17,0.25,0.5,0.17,0.17,0.33,0.5,0.25,0.2,0.25,0.17,0.33,0.33,0.25,0.17,0.33,0.17,0.5,0.17,0.25,0.25,0.33,0.25,0.33,0.12,0.25,0.25,0.25,0.33,0.17,1.0,0.17,0.33,0.12,0.12,0.25,0.25,0.17,0.5,0.2,0.17,0.33,0.5,0.5,0.2,0.17,0.25,0.33,0.25,0.5,0.5,0.25,0.25,0.25,0.5,0.17,0.25,0.17,0.17,0.33,0.5,0.17,0.25,0.33,0.17,0.33,0.17,0.17,0.14,0.5,0.25,0.33,0.33,0.2,0.25,0.5,0.2,0.17,1.0,0.17
pizza.Margherita,0.2,0.5,0.5,0.17,0.17,0.17,0.5,0.17,0.17,0.5,0.5,0.2,0.17,0.17,0.2,0.25,0.5,0.2,0.33,0.17,0.5,0.2,0.5,0.17,0.5,0.17,0.17,0.14,0.17,0.2,0.12,0.12,0.17,0.25,0.14,0.5,0.17,1.0,0.2,0.12,0.12,0.17,0.17,0.5,0.17,1.0,0.5,0.2,0.17,0.17,0.14,0.5,0.17,0.14,0.17,0.17,0.17,0.17,0.5,0.25,0.25,0.5,0.17,0.5,0.5,0.14,0.17,0.5,0.17,0.2,0.5,0.14,0.5,0.5,0.14,0.17,0.17,0.14,0.14,0.2,0.17,0.17,0.33,0.17,0.2,0.5
pizza.MeatTopping,0.25,0.2,0.2,0.33,0.33,0.33,0.2,0.33,0.33,0.2,0.2,0.5,0.33,1.0,0.25,0.33,0.2,0.5,0.5,0.33,0.2,0.5,0.2,0.33,0.2,0.33,0.33,0.25,1.0,0.5,0.14,0.2,1.0,0.33,0.25,0.2,0.33,0.2,1.0,0.14,0.14,0.33,0.33,0.2,0.33,0.25,0.2,0.5,0.33,0.33,0.5,0.2,0.33,0.25,1.0,0.33,0.33,0.33,0.33,0.33,1.0,0.2,0.33,0.2,0.2,0.25,0.33,0.2,0.33,0.5,0.2,0.25,0.2,0.2,0.17,0.33,0.33,0.25,0.25,0.25,0.33,0.33,0.25,0.2,0.5,0.2
pizza.Medium,0.33,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.14,0.12,0.12,0.14,0.25,0.12,0.14,0.2,0.12,0.12,0.14,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.14,0.5,0.1,0.12,0.17,0.11,0.12,0.12,0.12,0.14,1.0,0.5,0.12,0.12,0.12,0.12,0.14,0.12,0.14,0.12,0.12,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.17,0.17,0.17,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.14,0.12,0.11,0.12,0.12,1.0,0.12,0.12,0.11,0.11,0.14,0.12,0.12,0.14,0.5,0.14,0.12
pizza.Mild,0.33,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.14,0.12,0.12,0.14,0.25,0.12,0.14,0.2,0.12,0.12,0.14,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.14,0.5,0.1,0.12,0.17,0.11,0.12,0.12,0.12,0.14,0.5,1.0,0.12,0.12,0.12,0.12,0.14,0.12,0.14,0.12,0.12,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.17,0.17,0.17,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.14,0.12,0.11,0.12,0.12,1.0,0.12,0.12,0.11,0.11,0.14,0.12,0.12,0.14,0.5,0.14,0.12
pizza.MixedSeafoodTopping,0.2,0.17,0.17,0.5,0.25,0.25,0.17,0.25,0.25,0.17,0.17,0.33,0.25,0.25,0.2,0.25,0.17,1.0,0.33,0.25,0.17,0.33,0.17,0.25,0.17,0.25,0.25,0.2,0.25,0.33,0.12,0.17,0.25,0.25,0.2,0.17,0.25,0.17,0.33,0.12,0.12,1.0,0.25,0.17,0.25,0.2,0.17,0.33,0.25,0.25,0.2,0.17,0.25,0.2,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.17,0.5,0.17,0.17,0.2,0.25,0.17,0.25,0.33,0.17,0.2,0.17,0.17,0.14,0.25,0.25,0.2,0.2,0.2,0.25,0.25,0.2,0.17,0.33,0.17
pizza.MozzarellaTopping,0.2,0.17,0.17,0.25,0.25,0.25,0.17,0.25,0.25,0.17,0.17,1.0,0.5,0.25,0.2,0.25,0.17,0.33,0.33,0.5,0.17,0.33,0.17,0.25,0.17,0.5,0.5,0.2,0.25,0.33,0.12,0.17,0.25,0.25,0.2,0.17,0.25,0.17,0.33,0.12,0.12,0.25,1.0,0.17,0.25,0.2,0.17,0.33,0.25,0.25,0.2,0.17,0.5,0.2,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.17,0.25,0.17,0.17,0.2,0.25,0.17,0.25,0.33,0.17,0.2,0.17,0.17,0.14,0.25,0.25,0.2,0.2,0.2,0.25,0.25,0.2,0.17,0.33,0.17
pizza.Mushroom,0.2,0.5,0.5,0.17,0.17,0.17,0.5,0.17,0.17,0.5,0.5,0.2,0.17,0.17,0.2,0.25,0.5,0.2,0.33,0.17,0.5,0.2,0.5,0.17,0.5,0.17,0.17,0.14,0.17,0.2,0.12,0.12,0.17,0.25,0.14,0.5,0.17,0.5,0.2,0.12,0.12,0.17,0.17,1.0,0.17,1.0,0.5,0.2,0.17,0.17,0.14,0.5,0.17,0.14,0.17,0.17,0.17,0.17,0.5,0.25,0.25,0.5,0.17,0.5,0.5,0.14,0.17,0.5,0.17,0.2,0.5,0.14,0.5,0.5,0.14,0.17,0.17,0.14,0.14,0.2,0.17,0.17,0.33,0.17,0.2,0.5
pizza.MushroomTopping,0.2,0.17,0.17,0.25,0.5,0.5,0.17,0.25,0.5,0.17,0.17,0.33,0.5,0.25,0.2,0.25,0.17,0.33,0.33,0.25,0.17,0.33,0.17,0.5,0.17,0.25,0.25,0.33,0.25,0.33,0.12,0.25,0.25,0.25,0.33,0.17,0.5,0.17,0.33,0.12,0.12,0.25,0.25,0.17,1.0,0.2,0.17,0.33,0.5,0.5,0.2,0.17,0.25,0.33,0.25,0.5,0.5,0.25,0.25,0.25,0.5,0.17,0.25,0.17,0.17,0.33,0.5,0.17,0.25,0.33,0.17,0.33,0.17,0.17,0.14,0.5,0.25,0.33,0.33,0.2,0.25,0.5,0.2,0.17,1.0,0.17
pizza.NamedPizza,0.25,1.0,1.0,0.2,0.2,0.2,1.0,0.2,0.2,1.0,1.0,0.25,0.2,0.2,0.25,0.33,1.0,0.25,0.5,0.2,1.0,0.25,1.0,0.2,1.0,0.2,0.2,0.17,0.2,0.25,0.14,0.14,0.2,0.33,0.17,1.0,0.2,1.0,0.25,0.14,0.14,0.2,0.2,1.0,0.2,1.0,1.0,0.25,0.2,0.2,0.17,1.0,0.2,0.17,0.2,0.2,0.2,0.2,1.0,0.33,0.33,1.0,0.2,1.0,1.0,0.17,0.2,1.0,0.2,0.25,1.0,0.17,1.0,1.0,0.17,0.2,0.2,0.17,0.17,0.25,0.2,0.2,0.5,0.2,0.25,1.0
pizza.Napoletana,0.2,0.5,0.5,0.17,0.17,0.17,0.5,0.17,0.17,0.5,0.5,0.2,0.17,0.17,0.2,0.25,0.5,0.2,0.33,0.17,0.5,0.2,0.5,0.17,0.5,0.17,0.17,0.14,0.17,0.2,0.12,0.12,0.17,0.25,0.14,0.5,0.17,0.5,0.2,0.12,0.12,0.17,0.17,0.5,0.17,1.0,1.0,0.2,0.17,0.17,0.14,0.5,0.17,0.14,0.17,0.17,0.17,0.17,0.5,0.25,0.25,0.5,0.17,0.5,0.5,0.14,0.17,0.5,0.17,0.2,0.5,0.14,0.5,0.5,0.14,0.17,0.17,0.14,0.14,0.2,0.17,0.17,0.33,0.17,0.2,0.5
pizza.NutTopping,0.25,0.2,0.2,0.33,0.33,0.33,0.2,0.33,0.33,0.2,0.2,0.5,0.33,0.33,0.25,0.33,0.2,0.5,0.5,0.33,0.2,0.5,0.2,0.33,0.2,0.33,0.33,0.25,0.33,0.5,0.14,0.2,0.33,0.33,0.25,0.2,0.33,0.2,0.5,0.14,0.14,0.33,0.33,0.2,0.33,0.25,0.2,1.0,0.33,0.33,0.25,0.2,0.33,0.25,0.33,0.33,0.33,1.0,0.33,0.33,1.0,0.2,0.33,0.2,0.2,0.25,0.33,0.2,0.33,0.5,0.2,0.25,0.2,0.2,0.17,0.33,0.33,0.25,0.25,0.25,0.33,0.33,0.25,0.2,0.5,0.2
pizza.OliveTopping,0.2,0.17,0.17,0.25,0.5,0.5,0.17,0.25,0.5,0.17,0.17,0.33,0.5,0.25,0.2,0.25,0.17,0.33,0.33,0.25,0.17,0.33,0.17,0.5,0.17,0.25,0.25,0.33,0.25,0.33,0.12,0.25,0.25,0.25,0.33,0.17,0.5,0.17,0.33,0.12,0.12,0.25,0.25,0.17,0.5,0.2,0.17,0.33,1.0,0.5,0.2,0.17,0.25,0.33,0.25,0.5,0.5,0.25,0.25,0.25,0.5,0.17,0.25,0.17,0.17,0.33,0.5,0.17,0.25,0.33,0.17,0.33,0.17,0.17,0.14,0.5,0.25,0.33,0.33,0.2,0.25,0.5,0.2,0.17,1.0,0.17
pizza.OnionTopping,0.2,0.17,0.17,0.25,0.5,0.5,0.17,0.25,0.5,0.17,0.17,0.33,0.5,0.25,0.2,0.25,0.17,0.33,0.33,0.25,0.17,0.33,0.17,0.5,0.17,0.25,0.25,0.33,0.25,0.33,0.12,0.25,0.25,0.25,0.33,0.17,0.5,0.17,0.33,0.12,0.12,0.25,0.25,0.17,0.5,0.2,0.17,0.33,0.5,1.0,0.2,0.17,0.25,0.33,0.25,0.5,0.5,0.25,0.25,0.25,0.5,0.17,0.25,0.17,0.17,1.0,0.5,0.17,0.25,0.33,0.17,0.33,0.17,0.17,0.14,0.5,0.25,0.33,0.33,0.2,0.25,0.5,0.2,0.17,1.0,0.17
pizza.ParmaHamTopping,0.17,0.14,0.14,0.2,0.2,0.2,0.14,0.2,0.2,0.14,0.14,0.25,0.2,0.33,0.17,0.2,0.14,0.25,0.25,0.2,0.14,0.25,0.14,0.2,0.14,0.2,0.2,0.17,1.0,0.25,0.11,0.14,0.33,0.2,0.17,0.14,0.2,0.14,0.5,0.11,0.11,0.2,0.2,0.14,0.2,0.17,0.14,0.25,0.2,0.2,1.0,0.14,0.2,0.17,0.33,0.2,0.2,0.2,0.2,0.2,0.33,0.14,0.2,0.14,0.14,0.17,0.2,0.14,0.2,0.25,0.14,0.17,0.14,0.14,0.12,0.2,0.2,0.17,0.17,0.17,0.2,0.2,0.17,0.14,0.25,0.14
pizza.Parmense,0.2,0.5,0.5,0.17,0.17,0.17,0.5,0.17,0.17,0.5,0.5,0.2,0.17,0.17,0.2,0.25,0.5,0.2,0.33,0.17,0.5,0.2,0.5,0.17,0.5,0.17,0.17,0.14,0.17,0.2,0.12,0.12,0.17,0.25,0.14,0.5,0.17,0.5,0.2,0.12,0.12,0.17,0.17,0.5,0.17,1.0,0.5,0.2,0.17,0.17,0.14,1.0,0.17,0.14,0.17,0.17,0.17,0.17,0.5,0.25,0.25,0.5,0.17,0.5,0.5,0.14,0.17,0.5,0.17,0.2,0.5,0.14,0.5,0.5,0.14,0.17,0.17,0.14,0.14,0.2,0.17,0.17,0.33,0.17,0.2,0.5
pizza.ParmesanTopping,0.2,0.17,0.17,0.25,0.25,0.25,0.17,0.25,0.25,0.17,0.17,1.0,0.5,0.25,0.2,0.25,0.17,0.33,0.33,0.5,0.17,0.33,0.17,0.25,0.17,0.5,0.5,0.2,0.25,0.33,0.12,0.17,0.25,0.25,0.2,0.17,0.25,0.17,0.33,0.12,0.12,0.25,0.5,0.17,0.25,0.2,0.17,0.33,0.25,0.25,0.2,0.17,1.0,0.2,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.17,0.25,0.17,0.17,0.2,0.25,0.17,0.25,0.33,0.17,0.2,0.17,0.17,0.14,0.25,0.25,0.2,0.2,0.2,0.25,0.25,0.2,0.17,0.33,0.17
pizza.PeperonataTopping,0.17,0.14,0.14,0.2,0.33,0.33,0.14,0.2,0.33,0.14,0.14,0.25,0.33,0.2,0.17,0.2,0.14,0.25,0.25,0.2,0.14,0.25,0.14,0.33,0.14,0.2,0.2,0.5,0.2,0.25,0.11,0.33,0.2,0.2,0.5,0.14,0.33,0.14,0.25,0.11,0.11,0.2,0.2,0.14,0.33,0.17,0.14,0.25,0.33,0.33,0.17,0.14,0.2,1.0,0.2,1.0,0.33,0.2,0.2,0.2,0.33,0.14,0.2,0.14,0.14,0.25,0.33,0.14,0.2,0.25,0.14,0.25,0.14,0.14,0.12,0.33,0.2,0.25,0.5,0.17,0.2,0.33,0.17,0.14,0.5,0.14
pizza.PeperoniSausageTopping,0.2,0.17,0.17,0.25,0.25,0.25,0.17,0.25,0.25,0.17,0.17,0.33,0.25,0.5,0.2,0.25,0.17,0.33,0.33,0.25,0.17,0.33,0.17,0.25,0.17,0.25,0.25,0.2,0.5,0.33,0.12,0.17,0.5,0.25,0.2,0.17,0.25,0.17,1.0,0.12,0.12,0.25,0.25,0.17,0.25,0.2,0.17,0.33,0.25,0.25,0.33,0.17,0.25,0.2,1.0,0.25,0.25,0.25,0.25,0.25,0.5,0.17,0.25,0.17,0.17,0.2,0.25,0.17,0.25,0.33,0.17,0.2,0.17,0.17,0.14,0.25,0.25,0.2,0.2,0.2,0.25,0.25,0.2,0.17,0.33,0.17
pizza.PepperTopping,0.2,0.17,0.17,0.25,0.5,0.5,0.17,0.25,0.5,0.17,0.17,0.33,0.5,0.25,0.2,0.25,0.17,0.33,0.33,0.25,0.17,0.33,0.17,0.5,0.17,0.25,0.25,1.0,0.25,0.33,0.12,0.5,0.25,0.25,1.0,0.17,0.5,0.17,0.33,0.12,0.12,0.25,0.25,0.17,0.5,0.2,0.17,0.33,0.5,0.5,0.2,0.17,0.25,1.0,0.25,1.0,0.5,0.25,0.25,0.25,0.5,0.17,0.25,0.17,0.17,0.33,0.5,0.17,0.25,0.33,0.17,0.33,0.17,0.17,0.14,0.5,0.25,0.33,1.0,0.2,0.25,0.5,0.2,0.17,1.0,0.17
pizza.PetitPoisTopping,0.2,0.17,0.17,0.25,0.5,0.5,0.17,0.25,0.5,0.17,0.17,0.33,0.5,0.25,0.2,0.25,0.17,0.33,0.33,0.25,0.17,0.33,0.17,0.5,0.17,0.25,0.25,0.33,0.25,0.33,0.12,0.25,0.25,0.25,0.33,0.17,0.5,0.17,0.33,0.12,0.12,0.25,0.25,0.17,0.5,0.2,0.17,0.33,0.5,0.5,0.2,0.17,0.25,0.33,0.25,0.5,1.0,0.25,0.25,0.25,0.5,0.17,0.25,0.17,0.17,0.33,0.5,0.17,0.25,0.33,0.17,0.33,0.17,0.17,0.14,0.5,0.25,0.33,0.33,0.2,0.25,0.5,0.2,0.17,1.0,0.17
pizza.PineKernels,0.2,0.17,0.17,0.25,0.25,0.25,0.17,0.25,0.25,0.17,0.17,0.33,0.25,0.25,0.2,0.25,0.17,0.33,0.33,0.25,0.17,0.33,0.17,0.25,0.17,0.25,0.25,0.2,0.25,0.33,0.12,0.17,0.25,0.25,0.2,0.17,0.25,0.17,0.33,0.12,0.12,0.25,0.25,0.17,0.25,0.2,0.17,1.0,0.25,0.25,0.2,0.17,0.25,0.2,0.25,0.25,0.25,1.0,0.25,0.25,0.5,0.17,0.25,0.17,0.17,0.2,0.25,0.17,0.25,0.33,0.17,0.2,0.17,0.17,0.14,0.25,0.25,0.2,0.2,0.2,0.25,0.25,0.2,0.17,0.33,0.17
pizza.Pizza,0.33,0.5,0.5,0.25,0.25,0.25,0.5,0.25,0.25,0.5,0.5,0.33,0.25,0.25,0.33,0.5,0.5,0.33,1.0,0.25,0.5,0.33,0.5,0.25,0.5,0.25,0.25,0.2,0.25,0.33,0.17,0.17,0.25,0.5,0.2,0.5,0.25,0.5,0.33,0.17,0.17,0.25,0.25,0.5,0.25,1.0,0.5,0.33,0.25,0.25,0.2,0.5,0.25,0.2,0.25,0.25,0.25,0.25,1.0,0.5,0.5,0.5,0.25,0.5,0.5,0.2,0.25,0.5,0.25,0.33,0.5,0.2,0.5,0.5,0.2,0.25,0.25,0.2,0.2,0.33,0.25,0.25,1.0,0.25,0.33,0.5
pizza.PizzaBase,0.33,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.33,0.25,0.25,1.0,0.5,0.25,0.33,1.0,0.25,0.25,0.33,0.25,0.25,0.25,0.25,0.25,0.2,0.25,0.33,0.17,0.17,0.25,0.5,0.2,0.25,0.25,0.25,0.33,0.17,0.17,0.25,0.25,0.25,0.25,0.33,0.25,0.33,0.25,0.25,0.2,0.25,0.25,0.2,0.25,0.25,0.25,0.25,0.5,1.0,0.5,0.25,0.25,0.25,0.25,0.2,0.25,0.25,0.25,0.33,0.25,0.2,0.25,0.25,0.2,0.25,0.25,0.2,0.2,1.0,0.25,0.25,0.33,0.25,0.33,0.25
pizza.PizzaTopping,0.33,0.25,0.25,0.5,0.5,0.5,0.25,0.5,0.5,0.25,0.25,1.0,0.5,0.5,0.33,0.5,0.25,1.0,1.0,0.5,0.25,1.0,0.25,0.5,0.25,0.5,0.5,0.33,0.5,1.0,0.17,0.25,0.5,0.5,0.33,0.25,0.5,0.25,1.0,0.17,0.17,0.5,0.5,0.25,0.5,0.33,0.25,1.0,0.5,0.5,0.33,0.25,0.5,0.33,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.25,0.5,0.25,0.25,0.33,0.5,0.25,0.5,1.0,0.25,0.33,0.25,0.25,0.2,0.5,0.5,0.33,0.33,0.33,0.5,0.5,0.33,0.25,1.0,0.25
pizza.PolloAdAstra,0.2,0.5,0.5,0.17,0.17,0.17,0.5,0.17,0.17,0.5,0.5,0.2,0.17,0.17,0.2,0.25,0.5,0.2,0.33,0.17,0.5,0.2,0.5,0.17,0.5,0.17,0.17,0.14,0.17,0.2,0.12,0.12,0.17,0.25,0.14,0.5,0.17,0.5,0.2,0.12,0.12,0.17,0.17,0.5,0.17,1.0,0.5,0.2,0.17,0.17,0.14,0.5,0.17,0.14,0.17,0.17,0.17,0.17,0.5,0.25,0.25,1.0,0.17,0.5,0.5,0.14,0.17,0.5,0.17,0.2,0.5,0.14,0.5,0.5,0.14,0.17,0.17,0.14,0.14,0.2,0.17,0.17,0.33,0.17,0.2,0.5
pizza.PrawnsTopping,0.2,0.17,0.17,0.5,0.25,0.25,0.17,0.25,0.25,0.17,0.17,0.33,0.25,0.25,0.2,0.25,0.17,1.0,0.33,0.25,0.17,0.33,0.17,0.25,0.17,0.25,0.25,0.2,0.25,0.33,0.12,0.17,0.25,0.25,0.2,0.17,0.25,0.17,0.33,0.12,0.12,0.5,0.25,0.17,0.25,0.2,0.17,0.33,0.25,0.25,0.2,0.17,0.25,0.2,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.17,1.0,0.17,0.17,0.2,0.25,0.17,0.25,0.33,0.17,0.2,0.17,0.17,0.14,0.25,0.25,0.2,0.2,0.2,0.25,0.25,0.2,0.17,0.33,0.17
pizza.PrinceCarlo,0.2,0.5,0.5,0.17,0.17,0.17,0.5,0.17,0.17,0.5,0.5,0.2,0.17,0.17,0.2,0.25,0.5,0.2,0.33,0.17,0.5,0.2,0.5,0.17,0.5,0.17,0.17,0.14,0.17,0.2,0.12,0.12,0.17,0.25,0.14,0.5,0.17,0.5,0.2,0.12,0.12,0.17,0.17,0.5,0.17,1.0,0.5,0.2,0.17,0.17,0.14,0.5,0.17,0.14,0.17,0.17,0.17,0.17,0.5,0.25,0.25,0.5,0.17,1.0,0.5,0.14,0.17,0.5,0.17,0.2,0.5,0.14,0.5,0.5,0.14,0.17,0.17,0.14,0.14,0.2,0.17,0.17,0.33,0.17,0.2,0.5
pizza.QuattroFormaggi,0.2,0.5,0.5,0.17,0.17,0.17,0.5,0.17,0.17,0.5,0.5,0.2,0.17,0.17,0.2,0.25,0.5,0.2,0.33,0.17,0.5,0.2,0.5,0.17,0.5,0.17,0.17,0.14,0.17,0.2,0.12,0.12,0.17,0.25,0.14,0.5,0.17,0.5,0.2,0.12,0.12,0.17,0.17,0.5,0.17,1.0,0.5,0.2,0.17,0.17,0.14,0.5,0.17,0.14,0.17,0.17,0.17,0.17,0.5,0.25,0.25,0.5,0.17,0.5,1.0,0.14,0.17,0.5,0.17,0.2,0.5,0.14,0.5,0.5,0.14,0.17,0.17,0.14,0.14,0.2,0.17,0.17,0.33,0.17,0.2,0.5
pizza.RedOnionTopping,0.17,0.14,0.14,0.2,0.33,0.33,0.14,0.2,0.33,0.14,0.14,0.25,0.33,0.2,0.17,0.2,0.14,0.25,0.25,0.2,0.14,0.25,0.14,0.33,0.14,0.2,0.2,0.25,0.2,0.25,0.11,0.2,0.2,0.2,0.25,0.14,0.33,0.14,0.25,0.11,0.11,0.2,0.2,0.14,0.33,0.17,0.14,0.25,0.33,1.0,0.17,0.14,0.2,0.25,0.2,0.33,0.33,0.2,0.2,0.2,0.33,0.14,0.2,0.14,0.14,1.0,0.33,0.14,0.2,0.25,0.14,0.25,0.14,0.14,0.12,0.33,0.2,0.25,0.25,0.17,0.2,0.33,0.17,0.14,0.5,0.14
pizza.RocketTopping,0.2,0.17,0.17,0.25,0.5,0.5,0.17,0.25,0.5,0.17,0.17,0.33,0.5,0.25,0.2,0.25,0.17,0.33,0.33,0.25,0.17,0.33,0.17,0.5,0.17,0.25,0.25,0.33,0.25,0.33,0.12,0.25,0.25,0.25,0.33,0.17,0.5,0.17,0.33,0.12,0.12,0.25,0.25,0.17,0.5,0.2,0.17,0.33,0.5,0.5,0.2,0.17,0.25,0.33,0.25,0.5,0.5,0.25,0.25,0.25,0.5,0.17,0.25,0.17,0.17,0.33,1.0,0.17,0.25,0.33,0.17,0.33,0.17,0.17,0.14,0.5,0.25,0.33,0.33,0.2,0.25,0.5,0.2,0.17,1.0,0.17
pizza.Rosa,0.2,0.5,0.5,0.17,0.17,0.17,0.5,0.17,0.17,0.5,0.5,0.2,0.17,0.17,0.2,0.25,0.5,0.2,0.33,0.17,0.5,0.2,0.5,0.17,0.5,0.17,0.17,0.14,0.17,0.2,0.12,0.12,0.17,0.25,0.14,0.5,0.17,0.5,0.2,0.12,0.12,0.17,0.17,0.5,0.17,1.0,0.5,0.2,0.17,0.17,0.14,0.5,0.17,0.14,0.17,0.17,0.17,0.17,0.5,0.25,0.25,0.5,0.17,0.5,0.5,0.14,0.17,1.0,0.17,0.2,0.5,0.14,0.5,0.5,0.14,0.17,0.17,0.14,0.14,0.2,0.17,0.17,0.33,0.17,0.2,0.5
pizza.RosemaryTopping,0.2,0.17,0.17,0.25,0.25,0.25,0.17,0.5,0.25,0.17,0.17,0.33,0.25,0.25,0.2,0.25,0.17,0.33,0.33,0.25,0.17,0.33,0.17,0.25,0.17,0.25,0.25,0.2,0.25,1.0,0.12,0.17,0.25,0.25,0.2,0.17,0.25,0.17,0.33,0.12,0.12,0.25,0.25,0.17,0.25,0.2,0.17,0.33,0.25,0.25,0.2,0.17,0.25,0.2,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.17,0.25,0.17,0.17,0.2,0.25,0.17,1.0,0.33,0.17,0.2,0.17,0.17,0.14,0.25,0.25,0.2,0.2,0.2,0.25,0.25,0.2,0.17,0.33,0.17
